Date,DISTRICT,mean
2009-05,Hyderabad,41.97000134724242
2009-05,Karimnagar,24.702278212757474
2009-05,Khammam,104.95760249495981
2009-05,Krishna,93.46481792907332
2009-05,Kurnool,81.15126380387038
2009-05,Mahbubnagar,78.4161254492289
2009-05,Medak,24.035525764255752
2009-05,Nalgonda,53.851086789667626
2009-05,Sri Potti Sriramulu Nellore,54.24118444102684
2009-05,Nizamabad,20.279622040029885
2009-05,Prakasam,98.37599504893778
2009-05,Rangareddy,44.01525260966978
2009-05,Srikakulam,54.36689933947073
2009-05,Visakhapatnam,74.47802463926402
2009-05,Vizianagaram,64.8301112328822
2009-05,Warangal,53.41916918204126
2009-05,West Godavari,71.46031521285911
2009-06,Adilabad,109.02634568889027
2009-06,Anantapur,35.42534482505646
2009-06,Chittoor,83.95931332750499
2009-06,Y.s.r.,54.841769162060025
2009-06,East Godavari,123.49139222858642
2009-06,Guntur,91.56713650425267
2009-06,Hyderabad,101.48141299142803
2009-06,Karimnagar,123.28992081913454
2009-06,Khammam,109.7367565007042
2009-06,Krishna,110.48272604797218
2009-06,Kurnool,91.69458038735604
2009-06,Mahbubnagar,112.9339739259533
2009-06,Medak,124.2609185324645
2009-06,Nalgonda,104.23950643231942
2009-06,Sri Potti Sriramulu Nellore,33.508141970821356
2009-06,Nizamabad,123.79294528194278
2009-06,Prakasam,65.57883849260763
2009-06,Rangareddy,123.85872172519805
2009-06,Srikakulam,95.17409633178634
2009-06,Visakhapatnam,129.04275974548366
2009-06,Vizianagaram,131.06843599972854
2009-06,Warangal,123.44507062032
2009-06,West Godavari,119.58073254969702
2009-07,Adilabad,267.89965562796095
2009-07,Anantapur,14.009526408978237
2009-07,Chittoor,81.07838907950318
2009-07,Y.s.r.,42.50503822167706
2009-07,East Godavari,241.41552416274888
2009-07,Guntur,101.32662983431652
2009-07,Hyderabad,76.26817559771553
2009-07,Karimnagar,202.99633037616698
2009-07,Khammam,262.86188619589296
2009-07,Krishna,162.62690267824792
2009-07,Kurnool,53.78346390216297
2009-07,Mahbubnagar,74.37836351874434
2009-07,Medak,113.9926918180905
2009-07,Nalgonda,104.21527913597257
2009-07,Sri Potti Sriramulu Nellore,45.67023951323493
2009-07,Nizamabad,167.7584383424178
2009-07,Prakasam,58.32767620951257
2009-07,Rangareddy,89.53898227728226
2009-07,Srikakulam,350.9662239992378
2009-07,Visakhapatnam,308.8696398539404
2009-07,Vizianagaram,401.94067000186305
2009-07,Warangal,198.04147428451546
2009-07,West Godavari,223.87884685630087
2009-08,Adilabad,300.69088243285313
2009-08,Anantapur,95.15929324573285
2009-08,Chittoor,137.7241341621786
2009-08,Y.s.r.,148.16582943185554
2009-08,East Godavari,234.22394993315797
2009-08,Guntur,200.66716120438542
2009-08,Hyderabad,228.60355081187862
2009-08,Karimnagar,279.2820085008246
2009-08,Khammam,298.20789359457603
2009-08,Krishna,197.16965962832023
2009-08,Kurnool,190.24300723714134
2009-08,Mahbubnagar,279.99824668783674
2009-08,Medak,276.09326969042183
2009-08,Nalgonda,197.0173858196268
2009-08,Sri Potti Sriramulu Nellore,130.4466189489423
2009-08,Nizamabad,285.9237225800896
2009-08,Prakasam,193.1759346507579
2009-08,Rangareddy,272.6862700301736
2009-08,Srikakulam,184.07489343133415
2009-08,Visakhapatnam,247.82174041715345
2009-08,Vizianagaram,227.9573395599652
2009-08,Warangal,253.64067234187473
2009-08,West Godavari,209.37787281592276
2009-09,Adilabad,104.01593264364081
2009-09,Anantapur,176.85662030378683
2009-09,Chittoor,133.71401683199417
2009-09,Y.s.r.,131.2993433898159
2009-09,East Godavari,171.9991179518718
2009-09,Guntur,139.064175847177
2009-09,Hyderabad,161.38076801222888
2009-09,Karimnagar,121.78931730701329
2009-09,Khammam,146.08855619501495
2009-09,Krishna,136.10352270327485
2009-09,Kurnool,178.74294384091198
2009-09,Mahbubnagar,187.92000475200842
2009-09,Medak,159.1331437095142
2009-09,Nalgonda,149.3623483941611
2009-09,Sri Potti Sriramulu Nellore,97.57573493510229
2009-09,Nizamabad,141.18386621061197
2009-09,Prakasam,119.80841745537121
2009-09,Rangareddy,172.08795543062757
2009-09,Srikakulam,196.30611937425925
2009-09,Visakhapatnam,197.97771098116536
2009-09,Vizianagaram,193.5083535063786
2009-09,Warangal,133.26299145668375
2009-09,West Godavari,149.50996306520082
2009-10,Adilabad,57.31597439592887
2009-10,Anantapur,58.48473911493431
2009-10,Chittoor,38.412440179901864
2009-10,Y.s.r.,30.38435293458458
2009-10,East Godavari,78.41863016670924
2009-10,Guntur,26.44711240063544
2009-10,Hyderabad,85.85066485389535
2009-10,Karimnagar,57.95961250939031
2009-10,Khammam,30.387610556957025
2009-10,Krishna,33.53750327806422
2009-10,Kurnool,53.74427215337152
2009-10,Mahbubnagar,69.04769276119556
2009-10,Medak,83.00267603869337
2009-10,Nalgonda,43.33911186124148
2009-10,Sri Potti Sriramulu Nellore,43.46303660805025
2009-10,Nizamabad,63.89362326629237
2009-10,Prakasam,32.65614840614656
2009-10,Rangareddy,83.593554096938
2009-10,Srikakulam,160.39357693103818
2009-10,Visakhapatnam,93.78636814746868
2009-10,Vizianagaram,110.49780015082102
2009-10,Warangal,37.4162155303364
2009-10,West Godavari,50.85331448182767
2009-11,Adilabad,18.22731700379313
2009-11,Anantapur,69.40045751045862
2009-11,Chittoor,156.31199104191734
2009-11,Y.s.r.,127.35205687433408
2009-11,East Godavari,65.11014801129058
2009-11,Guntur,69.02949703426125
2009-11,Hyderabad,19.55156878144224
2009-11,Karimnagar,18.296691928560367
2009-11,Khammam,43.67870104549253
2009-11,Krishna,81.22007359367308
2009-11,Kurnool,41.81924620990188
2009-11,Mahbubnagar,29.446765855898736
2009-11,Medak,19.284569646955987
2009-11,Nalgonda,28.231129734244472
2009-11,Sri Potti Sriramulu Nellore,308.5918027682407
2009-11,Nizamabad,18.921078991438833
2009-11,Prakasam,149.01983001668253
2009-11,Rangareddy,18.89801515620421
2009-11,Srikakulam,75.4886244350647
2009-11,Visakhapatnam,66.35875168628266
2009-11,Vizianagaram,78.39617005076262
2009-11,Warangal,25.949385943871864
2009-11,West Godavari,51.55463290747922
2009-12,Adilabad,0.5008546092864237
2009-12,Anantapur,4.996911130834522
2009-12,Chittoor,42.00413777697398
2009-12,Y.s.r.,23.405002948035563
2009-12,East Godavari,2.8686325966973314
2009-12,Guntur,5.060839034520109
2009-12,Hyderabad,0.0
2009-12,Karimnagar,0.6594648159580491
2009-12,Khammam,0.3383668341919678
2009-12,Krishna,1.3919350459101312
2009-12,Kurnool,1.8663838349217428
2009-12,Mahbubnagar,0.984726552703325
2009-12,Medak,0.4425485999335797
2009-12,Nalgonda,0.24159911099791578
2009-12,Sri Potti Sriramulu Nellore,74.82248373460749
2009-12,Nizamabad,0.2301434030145548
2009-12,Prakasam,11.508737901782272
2009-12,Rangareddy,0.40230454828356876
2009-12,Srikakulam,5.425383439364313
2009-12,Visakhapatnam,3.599533126702445
2009-12,Vizianagaram,3.1026497942939297
2009-12,Warangal,0.533800774023094
2009-12,West Godavari,1.7212591426298676
2010-01,Adilabad,16.610754951321038
2010-01,Anantapur,0.5580712835916274
2010-01,Chittoor,7.519234845464565
2010-01,Y.s.r.,3.884873662833618
2010-01,East Godavari,1.7712701151179666
2010-01,Guntur,0.8341241522559978
2010-01,Hyderabad,4.834494287643618
2010-01,Karimnagar,12.828745150522236
2010-01,Khammam,4.8729323869743855
2010-01,Krishna,1.3918739791494605
2010-01,Kurnool,0.7806778378626846
2010-01,Mahbubnagar,1.0267492526140152
2010-01,Medak,5.3288793287394185
2010-01,Nalgonda,3.3339031916366753
2010-01,Sri Potti Sriramulu Nellore,5.373836252195532
2010-01,Nizamabad,10.324884766038183
2010-01,Prakasam,1.111137417225111
2010-01,Rangareddy,1.661166220718408
2010-01,Srikakulam,2.8597995355647203
2010-01,Visakhapatnam,4.950445204053838
2010-01,Vizianagaram,5.296671144380763
2010-01,Warangal,8.217252036581057
2010-01,West Godavari,1.8197439118239203
2010-02,Adilabad,12.443174456906952
2010-02,Anantapur,0.010309690846222458
2010-02,Chittoor,0.3803143777876859
2010-02,Y.s.r.,0.11139017142914183
2010-02,East Godavari,3.2073720839800313
2010-02,Guntur,0.9545775706591375
2010-02,Hyderabad,4.279071896168792
2010-02,Karimnagar,9.271899229516979
2010-02,Khammam,7.061589760217269
2010-02,Krishna,2.1227035256197224
